data_somministrazione,totale,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_ospiti_rsa,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,prima_dose,seconda_dose
2020-12-27,7014,3323,3691,6108,582,321,2,0,1,7014,0
2020-12-28,972,449,523,965,7,0,0,0,0,972,0
2020-12-29,928,403,525,896,11,21,0,0,0,928,0
2020-12-30,4668,1859,2809,4103,216,349,0,0,0,4668,0
2020-12-31,25260,9776,15484,20797,1872,2558,28,0,5,25260,0
2021-01-01,11038,4264,6774,9899,334,805,0,0,0,11038,0
2021-01-02,38488,15264,23224,33869,2489,2120,2,0,8,38488,0
2021-01-03,35111,13756,21355,31305,2288,1510,2,0,6,35111,0
2021-01-04,68314,26677,41637,58875,5827,3580,16,0,16,68314,0
2021-01-05,79385,30310,49075,66528,8021,4805,13,2,16,79385,0
2021-01-06,65100,25284,39816,52978,8101,3943,68,4,6,65100,0
2021-01-07,91700,33222,58478,71966,12166,7422,124,15,7,91700,0
2021-01-08,95178,34311,60867,71468,16078,7483,131,6,12,95178,0
2021-01-09,86792,33840,52952,62335,17072,7338,29,12,6,86792,0
2021-01-10,60303,23787,36516,43535,12882,3861,20,4,1,60303,0
2021-01-11,80579,28923,51656,55262,16765,8048,497,3,4,80579,0
2021-01-12,81239,29592,51647,53069,18444,9314,400,3,9,81239,0
2021-01-13,93162,32449,60713,56607,23470,12647,419,10,9,93162,0
2021-01-14,92382,31391,60991,52724,24201,14595,848,10,4,92382,0
2021-01-15,88164,30566,57598,49519,23376,13408,1835,15,11,88164,0
2021-01-16,64389,24280,40109,37780,15615,8420,2561,6,7,64389,0
2021-01-17,36299,14186,22113,22096,7698,3616,2878,5,6,33501,2798
2021-01-18,41922,14801,27121,22775,9783,7745,1604,4,11,37519,4403
2021-01-19,31926,10964,20962,16012,7326,7422,1159,1,6,30232,1694
2021-01-20,29543,10214,19329,15605,6465,6827,643,0,3,25071,4472
2021-01-21,34602,12908,21694,23020,6379,5045,155,0,3,15164,19438
2021-01-22,25749,9202,16547,16574,4085,4953,133,0,4,11860,13889
2021-01-23,38327,15270,23057,31446,3433,3316,126,0,6,5650,32677
2021-01-24,33606,13276,20330,28434,3151,1892,128,0,1,3013,30593
2021-01-25,68420,26374,42046,57247,6462,4569,134,0,8,4483,63937
2021-01-26,79563,30566,48997,65430,7855,6134,132,1,11,4135,75428
2021-01-27,70222,27074,43148,55647,9117,5267,184,1,6,5896,64326
2021-01-28,92704,33672,59032,72298,12624,7593,166,12,11,4457,88247
2021-01-29,96719,35209,61510,73628,15091,7883,104,1,12,4491,92228
2021-01-30,89535,34787,54748,66730,15730,6911,143,12,9,3932,85603
2021-01-31,58964,23193,35771,43635,12068,3116,138,2,5,2456,56508
2021-02-01,84772,30454,54318,60301,15183,8977,295,4,12,4321,80451
2021-02-02,86616,31498,55118,57938,17140,11030,495,6,7,6231,80385
2021-02-03,98146,34634,63512,62671,21098,13647,723,0,7,9146,89000
2021-02-04,105496,36553,68943,64899,23041,16603,935,1,17,13196,92300
2021-02-05,104468,37025,67443,62467,24260,15716,2002,11,12,17411,87057
2021-02-06,75337,28904,46433,47790,16273,8714,2553,1,6,14322,61015
2021-02-07,40046,15400,24646,25417,8930,2788,2902,2,7,8935,31111
2021-02-08,65268,23374,41894,35547,13231,10703,5721,29,37,26335,38933
2021-02-09,65139,23244,41895,34036,12625,12040,6355,1,82,34227,30912
2021-02-10,70845,26100,44745,37635,14387,11207,7583,2,31,44534,26311
2021-02-11,72043,25700,46343,36536,16408,11237,7803,31,28,54160,17883
2021-02-12,71474,25833,45641,35583,17804,9377,8269,422,19,57599,13875
2021-02-13,51549,19662,31887,25647,12621,4962,7936,367,16,45321,6228
2021-02-14,28994,10944,18050,11997,9525,1221,5983,262,6,26721,2273
2021-02-15,60611,24244,36367,26232,11210,5304,15299,1389,1177,55193,5418
2021-02-16,68620,28359,40261,24658,11690,5516,21569,2601,2586,63140,5480
2021-02-17,77052,32607,44445,26237,12042,7051,24672,4103,2947,68230,8822
2021-02-18,86180,35654,50526,26476,12020,7235,29047,5275,6127,79030,7150
2021-02-19,87358,35918,51440,26310,12512,5794,30563,4935,7244,81528,5830
2021-02-20,71183,29003,42180,18171,8798,2777,29579,3312,8546,67385,3798
2021-02-21,48177,19213,28964,10523,5838,1073,24338,851,5554,46154,2023
2021-02-22,97964,41757,56207,19206,12023,3821,47291,5685,9938,93025,4939
2021-02-23,66820,28251,38569,13248,7821,2361,33070,3580,6740,63269,3551
